TextKey,ko,en,ja,zh-Hans,zh-Hant,Context,Notes,MaxLengthHint
ui.settlement.nav.recovery,정착지 복구,Recovery,,,,Settlement recovery hub,Stable primary slot before assembled,16
ui.settlement.nav.route_core,항로 코어,Route Core,,,,Settlement recovery hub,Stable primary slot at assembled and activated,16
ui.settlement.route_core.status.assembled,조립 완료 · 활성화 필요,Assembled · Activation needed,,,,Settlement recovery hub,Authoritative assembled state,40
ui.settlement.route_core.status.activated,코어 활성화 · 정착지 방어 미완료,Core active · Defense pending,,,,Settlement recovery hub,Activated with defense pending,40
ui.settlement.route_core.status.defense_complete,항로 안정화 · 최종 출격 가능,Route stable · Final route ready,,,,Settlement recovery hub,Defense complete,40
ui.settlement.route_core.status.campaign_complete,중앙 물류망 작전 완료,Central network operation complete,,,,Settlement recovery hub,Final boss defeated,40
ui.settlement.route_core.description.assembled,복구가 완료되었습니다. 구역으로 이동해 코어를 직접 활성화하세요.,Recovery complete. Visit the deck and activate the core.,,,,Settlement recovery hub,Navigation never activates the core,72
ui.settlement.route_core.description.activated,항로 코어에서 정착지 방어를 진행하세요.,Return to the core to defend the Settlement.,,,,Settlement recovery hub,Physical interaction owns defense,72
ui.settlement.route_core.description.defense_complete,항로 코어와 상호작용해 중앙 물류망으로 출격하세요.,Interact with the core to launch the final expedition.,,,,Settlement recovery hub,Physical interaction owns final launch,72
ui.settlement.route_core.description.campaign_complete,작전이 완료되었습니다. 항로 코어 구역을 방문할 수 있습니다.,Operation complete. The Route Core deck remains open.,,,,Settlement recovery hub,Preserves existing post-campaign deck access,72
ui.settlement.route_core.action.enter_deck,항로 코어 구역으로 이동,Enter Route Core Deck,,,,Settlement recovery hub,Existing EnterDeck navigation only,32
ui.settlement.route_core.action.manage_facilities,시설 관리,Manage Facilities,,,,Settlement recovery hub,Optional restoration remains accessible,24
ui.settlement.route_core.components.header,회수 부품 · 복구 완료,Recovered components,,,,Settlement recovery hub,Read-only assembled components summary,32
ui.settlement.route_core.components.restored,복구 완료,Restored,,,,Settlement recovery hub,Assembled implies all three parts restored,16
ui.settlement.progress.header,현재 목표,NEXT STEP,,,,Settlement progress,Read-only sidebar header,12
ui.settlement.progress.loading,진행 정보 확인 중,Loading progress,,,,Settlement progress,Progress authority not ready,24
ui.settlement.progress.objective_first_part,첫 부품 회수,Recover first part,,,,Settlement progress,No story parts,24
ui.settlement.progress.objective_remaining_parts,남은 부품 회수,Recover remaining parts,,,,Settlement progress,More story parts needed,28
ui.settlement.progress.objective_analyze,회수 부품 분석,Analyze recovered part,,,,Settlement progress,Settlement story analysis pending,28
ui.settlement.progress.objective_restore,처리장에서 코어 복원,Restore core at Recovery Processor,,,,Settlement progress,All three parts recovered,40
ui.settlement.progress.objective_activate,항로 코어 활성화,Activate Route Core,,,,Settlement progress,Core restored,24
ui.settlement.progress.objective_defend,정착지 방어,Defend Settlement,,,,Settlement progress,Activated core defense pending,24
ui.settlement.progress.objective_final,최종 원정 출격,Launch final expedition,,,,Settlement progress,Final expedition available,28
ui.settlement.progress.objective_complete,중앙망 무력화,Network neutralized,,,,Settlement progress,Final boss defeated,24
ui.settlement.progress.parts,부품 {count}/3,Parts {count}/3,,,,Settlement progress,Named story part count,16
ui.settlement.progress.core,코어: {state},Core: {state},,,,Settlement progress,Named core state,24
ui.settlement.progress.core_missing,미완성,incomplete,,,,Settlement progress,Missing parts,16
ui.settlement.progress.core_ready,복원 대기,ready,,,,Settlement progress,Ready to restore,16
ui.settlement.progress.core_restored,복원 완료,restored,,,,Settlement progress,Assembled core,16
ui.settlement.progress.core_active,활성화,active,,,,Settlement progress,Activated core,16
ui.settlement.progress.defense_pending,방어: 대기,Defense: pending,,,,Settlement progress,Defense not completed,20
ui.settlement.progress.defense_clear,방어: 완료,Defense: clear,,,,Settlement progress,Defense completed,20
ui.settlement.progress.final_available,최종 원정 가능,Final route open,,,,Settlement progress,Final launch available,20
ui.settlement.progress.final_complete,최종 원정 완료,Final complete,,,,Settlement progress,Final campaign completed,20
