SoundEventId,Destination,Source,Volume,PitchRandomRange
ui_click,06_Audio/SFX/UI/ui_click.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_click_in_01.wav,0.9,0.03
ui_hover,06_Audio/SFX/UI/ui_hover.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/selection_01.wav,0.55,0.03
ui_back,06_Audio/SFX/UI/ui_back.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/menu_close_01.wav,0.75,0.02
ui_panel_open,06_Audio/SFX/UI/ui_panel_open.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/menu_open_fast_01.wav,0.8,0.02
ui_panel_close,06_Audio/SFX/UI/ui_panel_close.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/menu_close_02.wav,0.8,0.02
ui_insufficient,06_Audio/SFX/UI/ui_insufficient.wav,CelerisLab/CompleteUISFX/shop_and_economy/insufficient_currency_01.wav,0.9,0.02
ui_upgrade_success,06_Audio/SFX/UI/ui_upgrade_success.wav,CelerisLab/CompleteUISFX/crafting_and_upgrading/upgrade_applied_01.wav,0.9,0.02
ui_upgrade_fail,06_Audio/SFX/UI/ui_upgrade_fail.wav,CelerisLab/CompleteUISFX/crafting_and_upgrading/crafting_fail_01.wav,0.85,0.02
ui_launch,06_Audio/SFX/UI/ui_launch.wav,CelerisLab/CompleteUISFX/basic_interactions_and_navigation/game_state_change_01.wav,0.9,0.02
trait_select,06_Audio/SFX/UI/trait_select.wav,CelerisLab/CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_01.wav,0.85,0.03
level_up,06_Audio/SFX/UI/level_up.wav,CelerisLab/CompleteUISFX/positive_feedback_and_success/level_up_01.wav,0.9,0.02
tab_status_open,06_Audio/SFX/UI/tab_status_open.wav,CelerisLab/CompleteUISFX/inventory_and_item_management/inventory_open_01.wav,0.8,0.02
tab_status_close,06_Audio/SFX/UI/tab_status_close.wav,CelerisLab/CompleteUISFX/inventory_and_item_management/inventory_close_01.wav,0.8,0.02
warning_message,06_Audio/SFX/UI/warning_message.wav,CelerisLab/CompleteUISFX/negative_feedback_and_warnings/warning_pop_up_01.wav,0.85,0.02
