BeforeEventId,AfterEventId,Status,BeforeClipSlots,BeforeMissingReferences,AudioClipPaths,volume,pitchMin,pitchMax,loop,priority,spatialMode,spatialBlend,minDistance,maxDistance,maxSimultaneousVoices,minimumRetriggerInterval
01_ui_click,01_ui_click,Unchanged,1,0,06_Audio/SFX/UI/ui_click.wav,0.37,1,1,0,128,0,0,1.5,14,0,-1
02_ui_hover,02_ui_hover,Unchanged,1,0,06_Audio/SFX/UI/02_ui_hover.wav,0.11,1,1,0,128,0,0,1.5,14,0,-1
03_ui_back,03_ui_back,Unchanged,1,0,06_Audio/SFX/UI/ui_cancle.wav,0.37,0.97,1.03,0,128,0,0,1.5,14,0,-1
04_ui_panel_open,04_ui_panel_open,Unchanged,1,0,06_Audio/SFX/UI/ui_confirm_01.wav,0.72,0.98,1.02,0,128,0,0,1.5,14,0,-1
05_ui_panel_close,05_ui_panel_close,Unchanged,1,0,06_Audio/SFX/UI/ui_cancle.wav,0.68,0.98,1.02,0,128,0,0,1.5,14,0,-1
06_ui_insufficient,06_ui_insufficient,Unchanged,1,0,06_Audio/SFX/UI/ui_insufficient 1.wav,0.78,0.98,1.02,0,128,0,0,1.5,14,0,-1
07_ui_upgrade_success,07_ui_upgrade_success,Unchanged,1,0,06_Audio/SFX/UI/ui_confirm_01.wav,0.6,0.98,1.03,0,128,0,0,1.5,14,0,-1
08_ui_upgrade_fail,08_ui_upgrade_fail,Unchanged,1,0,06_Audio/SFX/UI/ui_insufficient 1.wav,0.75,0.97,1.02,0,128,0,0,1.5,14,0,-1
09_ui_unlock,09_ui_unlock,Unchanged,1,0,06_Audio/SFX/UI/09_ui_unlock.wav,0.74,0.97,1.03,0,120,0,0,1.5,14,0,-1
10_ui_activate,10_ui_activate,Unchanged,1,0,06_Audio/SFX/UI/10_ui_activate.wav,0.72,0.98,1.04,0,120,0,0,1.5,14,0,-1
11_ui_deactivate,11_ui_deactivate,Unchanged,1,0,06_Audio/SFX/UI/11_ui_deactivate.wav,0.64,0.97,1.03,0,120,0,0,1.5,14,0,-1
12_ui_disabled,12_ui_disabled,Unchanged,1,0,06_Audio/SFX/UI/ui_insufficient 1.wav,0.58,0.98,1.02,0,118,0,0,1.5,14,0,-1
13_ui_settings,13_ui_settings,Filled,0,0,06_Audio/SFX/UI/ui_confirm_01.wav,0.55,1,1,0,128,1,0,1.5,14,1,0.15
14_ui_pause,14_ui_pause,Unchanged,1,0,06_Audio/SFX/UI/ui_confirm_01.wav,0.72,0.98,1.02,0,110,0,0,1.5,14,0,-1
15_ui_launch,15_ui_launch,Unchanged,1,0,06_Audio/SFX/UI/ui_system_close.wav,0.78,0.98,1.02,0,105,0,0,1.5,14,0,-1
16_shop_open,16_shop_open,Filled,0,0,06_Audio/SFX/Shop/shop_open.wav,0.55,0.99,1.01,0,100,1,0,1.5,14,1,0.2
17_shop_buy_success,17_shop_buy_success,Unchanged,1,0,06_Audio/SFX/Shop/shop_buy_success.wav,0.82,0.98,1.03,0,128,0,0,1.5,14,0,-1
18_shop_buy_fail,18_shop_buy_fail,Filled,0,0,06_Audio/SFX/Shop/shop_buy_fail.wav,0.5,1,1,0,96,1,0,1.5,14,1,0.15
19_shop_item_sold,,Intentionally retired,0,0,,,,,,,,,,,,
20_shop_transaction_complete,,Intentionally retired,0,0,,,,,,,,,,,,
21_shop_warning,21_shop_warning,Unchanged,1,0,06_Audio/SFX/Shop/shop_warning_03.ogg,0.86,0.96,1.02,0,128,0,0.18,1.5,14,0,-1
22_shop_hostile,22_shop_hostile,Filled,0,0,06_Audio/SFX/Shop/shop_hostile_03.ogg,0.55,0.98,1.02,0,48,2,0.25,3,22,1,0.5
23_trait_select,23_trait_select,Restored missing references from archive,3,3,06_Audio/SFX/UI/trait_select.wav | 06_Audio/SFX/UI/trait_select_02.wav | 06_Audio/SFX/UI/trait_select_03.wav,0.78,0.98,1.03,0,128,0,0,1.5,14,0,-1
24_reinforcement_equip,24_reinforcement_equip,Restored missing references from archive,3,3,06_Audio/SFX/UI/reinforcement_equip.wav | 06_Audio/SFX/UI/reinforcement_equip_02.wav | 06_Audio/SFX/UI/reinforcement_equip_03.wav,0.76,0.98,1.03,0,128,0,0,1.5,14,0,-1
25_reinforcement_drop,25_reinforcement_drop,Restored missing references from archive,3,3,06_Audio/SFX/UI/reinforcement_drop.wav | 06_Audio/SFX/UI/reinforcement_drop_02.wav | 06_Audio/SFX/UI/reinforcement_drop_03.wav,0.66,0.96,1.04,0,128,0,0.15,1.5,14,0,-1
26_reinforcement_pickup,26_reinforcement_pickup,Restored missing references from archive,3,3,06_Audio/SFX/UI/reinforcement_pickup.wav | 06_Audio/SFX/UI/reinforcement_pickup_02.wav | 06_Audio/SFX/Pickups/pickup_scrap.wav,0.78,0.98,1.03,0,128,0,0,1.5,14,0,-1
27_reinforcement_use,27_reinforcement_use,Unchanged,2,0,06_Audio/SFX/Reinforcement/reinforcement_use_01.wav | 06_Audio/SFX/Reinforcement/reinforcement_use_02.wav,0.74,0.96,1.04,0,126,0,0.08,1.5,14,0,-1
28_tab_status_open,28_tab_status_open,Restored missing references from archive,2,2,06_Audio/SFX/UI/tab_status_open.wav | 06_Audio/SFX/UI/tab_status_open_02.wav,0.72,0.98,1.02,0,128,0,0,1.5,14,0,-1
29_tab_status_close,29_tab_status_close,Restored missing references from archive,2,2,06_Audio/SFX/UI/tab_status_close.wav | 06_Audio/SFX/UI/tab_status_close_02.wav,0.7,0.98,1.02,0,128,0,0,1.5,14,0,-1
30_warning_message,30_warning_message,Restored missing references from archive,2,2,06_Audio/SFX/UI/warning_message.wav | 06_Audio/SFX/UI/warning_message_02.wav,0.82,0.98,1.02,0,128,0,0,1.5,14,0,-1
31_action_denied,31_action_denied,Restored missing references from archive,3,3,06_Audio/SFX/UI/action_denied.wav | 06_Audio/SFX/UI/action_denied_02.wav | 06_Audio/SFX/UI/action_denied_03.wav,0.76,0.98,1.02,0,128,0,0,1.5,14,0,-1
32_radar_open,32_radar_open,Unchanged,2,0,06_Audio/SFX/Radar/radar_open.wav | 06_Audio/SFX/Radar/radar_open_02.wav,0.7,0.98,1.02,0,128,0,0,1.5,14,0,-1
33_radar_close,33_radar_close,Unchanged,1,0,06_Audio/SFX/Radar/radar_close.wav,0.62,0.98,1.02,0,128,0,0,1.5,14,0,-1
