ArchiveEntry,ExtractedPath,Bytes,SHA256,DurationSeconds,Codec,SampleRate,Channels,Classification,SelectedOrExistingPath,Inspection,Notes
02_UI_모음집1_분할/ui_click_digital_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_click_digital_01.wav,175782,d2d5592dda09eccf04cc715f78bed5f9bccc1e61a69002e610109f474eb77e8e,0.61,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_click_digital_02.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_click_digital_02.wav,221862,2ed1bc90efdeff6d2f6c6afa59be6a2db3c79d470e0c455467ae3efcbd67e027,0.77,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_click_sharp_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_click_sharp_01.wav,82182,9efdee306d8de11295e73f702fff24f9b90d2046c9223050275e9b6d5c5a9e2c,0.285,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_confirm_bright_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_confirm_bright_01.wav,155622,7495d6a3a39e248500ad9ab9288a6a5e490748b2c1f221d879ea70d3f70e75c4,0.54,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_execute_impact_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_execute_impact_01.wav,299622,9e77a238f855fcb3a9a2df14c562439bbc66a706c24979eccb0b46fd35b4a666,1.04,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_hover_low_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_hover_low_01.wav,213222,33a06c1c6da19fd326877e973fdd0d2672e10bd1944a2401f6dd9926c4952bec,0.74,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_hover_soft_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_hover_soft_01.wav,135462,e9bec8c38b148a289bb993550c7ae7379028ef8dcf9da1f2e1e94b367e7e988e,0.47,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_panel_close_sweep_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_panel_close_sweep_01.wav,472422,dee9db146b77de33aa2dbae1ef9520255b7ac822806ac6a09e9c5b57ca5a533a,1.64,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_panel_open_sweep_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_panel_open_sweep_01.wav,892902,d8822d943efd639db9fe4871423b8b904f1ec7296ec86616ee56858e07f98f5a,3.1,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
02_UI_모음집1_분할/ui_tick_low_01.wav,06_Audio/ImportedSource/SoundZip~/02_UI_모음집1_분할/ui_tick_low_01.wav,129702,a900b7cf8c8944bba98ca3033e4d69516fd1a135e6788121d1d04cb5a8b8743d,0.45,pcm_s24le,48000,2,UI/pickup candidate - unassigned,,Metadata/source provenance; not auditioned,Existing authored clips preferred; candidate needs user audition before final binding.
