SoundEventId,OutputFile,SourceFile,TrimSeconds,Volume,PitchMin,PitchMax,SpatialBlend
ship_dash_start,06_Audio/SFX/Player/ship_dash_start_prof.wav,Misc Transportation/Rocket_JumpJetThruster1.wav,0.55,0.72,0.96,1.04,0.25
ship_dash_start,06_Audio/SFX/Player/ship_dash_start_prof_02.wav,Misc Transportation/Rocket_JumpJetThruster2.wav,0.55,0.72,0.96,1.04,0.25
ship_dash_start,06_Audio/SFX/Player/ship_dash_start_prof_03.wav,Misc Transportation/JetPack_ThrusterLoop02.wav,0.55,0.72,0.96,1.04,0.25
ship_dash_end,06_Audio/SFX/Player/ship_dash_end_prof.wav,Machinery - Generators/Machine_Turbine_Powerdown.wav,0.55,0.48,0.96,1.03,0.2
ship_dash_end,06_Audio/SFX/Player/ship_dash_end_prof_02.wav,Machinery - Servos/Robot_Powerdown.wav,0.65,0.48,0.96,1.03,0.2
ship_hit,06_Audio/SFX/Player/ship_hit_prof.wav,Airplanes/Plane_P40_Hit_BangCanopy02.wav,,0.68,0.94,1.05,0.28
ship_hit,06_Audio/SFX/Player/ship_hit_prof_02.wav,Airplanes/Plane_P40_Hit_BangCanopy05.wav,,0.68,0.94,1.05,0.28
ship_hit,06_Audio/SFX/Player/ship_hit_prof_03.wav,Airplanes/Plane_P40_Hit_BangCanopy08.wav,0.5,0.68,0.94,1.05,0.28
ship_hit,06_Audio/SFX/Player/ship_hit_prof_04.wav,Doors/Door_LargeMetal_Stop11.wav,0.45,0.68,0.94,1.05,0.28
ship_death_breakup,06_Audio/SFX/Player/ship_death_breakup_prof.wav,Machinery - Servos/Robot_Servo_MetalCollapse.wav,1.8,0.86,0.92,1.03,0.35
ship_death_breakup,06_Audio/SFX/Player/ship_death_breakup_prof_02.wav,Misc Transportation/Smash_Plastic_RC_Car_Crush2.wav,1.35,0.86,0.92,1.03,0.35
ship_death_breakup,06_Audio/SFX/Player/ship_death_breakup_prof_03.wav,Machinery - Lifts/Lift_MetalGrind_LargeHit1.wav,1.7,0.86,0.92,1.03,0.35
enemy_charger_aim_loop,06_Audio/SFX/Enemies/enemy_charger_aim_loop_prof.wav,Machinery - Servos/Servo_Zoom_Loop02.wav,,0.5,0.98,1.04,0.3
enemy_charger_aim_loop,06_Audio/SFX/Enemies/enemy_charger_aim_loop_prof_02.wav,Machinery - Servos/Servo_Zoom_Loop03.wav,,0.5,0.98,1.04,0.3
enemy_charger_aim_loop,06_Audio/SFX/Enemies/enemy_charger_aim_loop_prof_03.wav,Machinery - Misc/Machine_SmallMotorLoop.wav,,0.5,0.98,1.04,0.3
enemy_hit,06_Audio/SFX/Enemies/enemy_hit_prof.wav,Airplanes/Plane_P40_Hit_BangCanopy03.wav,,0.42,0.92,1.1,0.28
enemy_hit,06_Audio/SFX/Enemies/enemy_hit_prof_02.wav,Airplanes/Plane_P40_Hit_BangCanopy04.wav,,0.42,0.92,1.1,0.28
enemy_hit,06_Audio/SFX/Enemies/enemy_hit_prof_03.wav,Airplanes/Plane_P40_Hit_BangCanopy07.wav,,0.42,0.92,1.1,0.28
enemy_hit,06_Audio/SFX/Enemies/enemy_hit_prof_04.wav,Machinery - Misc/Electricity_Spark_Connect3.wav,,0.42,0.92,1.1,0.28
enemy_death,06_Audio/SFX/Enemies/enemy_death_prof.wav,Misc Transportation/Crash_Plastic_RC_Car04.wav,,0.64,0.92,1.08,0.28
enemy_death,06_Audio/SFX/Enemies/enemy_death_prof_02.wav,Misc Transportation/Crash_Plastic_RC_Car05.wav,,0.64,0.92,1.08,0.28
enemy_death,06_Audio/SFX/Enemies/enemy_death_prof_03.wav,Misc Transportation/Crash_Plastic_RC_Car08.wav,,0.64,0.92,1.08,0.28
enemy_death,06_Audio/SFX/Enemies/enemy_death_prof_04.wav,Misc Transportation/RCCopter_Crash_Concrete1.wav,0.58,0.64,0.92,1.08,0.28
security_drone_spawn,06_Audio/SFX/Shop/security_drone_spawn_prof.wav,Machinery - Servos/Robot_Servo_Engage.wav,0.65,0.58,0.94,1.06,0.25
security_drone_spawn,06_Audio/SFX/Shop/security_drone_spawn_prof_02.wav,Machinery - Servos/Robot_Transform_Servo02.wav,0.75,0.58,0.94,1.06,0.25
security_drone_spawn,06_Audio/SFX/Shop/security_drone_spawn_prof_03.wav,Machinery - Servos/Servo_PanelOpen_Medium02.wav,,0.58,0.94,1.06,0.25
object_container_hit,06_Audio/SFX/Objects/object_container_hit_prof.wav,Airplanes/Plane_P40_Hit_BangCanopy10.wav,,0.48,0.94,1.07,0.25
object_container_hit,06_Audio/SFX/Objects/object_container_hit_prof_02.wav,Airplanes/Plane_P40_Hit_BangCanopy11.wav,,0.48,0.94,1.07,0.25
object_container_hit,06_Audio/SFX/Objects/object_container_hit_prof_03.wav,Doors/Door_LargeMetal_Stop11.wav,0.35,0.48,0.94,1.07,0.25
object_container_break,06_Audio/SFX/Objects/object_container_break_prof.wav,Misc Transportation/Crash_Plastic_RC_Car01.wav,0.5,0.68,0.94,1.06,0.28
object_container_break,06_Audio/SFX/Objects/object_container_break_prof_02.wav,Misc Transportation/Crash_Plastic_RC_Car02.wav,0.55,0.68,0.94,1.06,0.28
object_container_break,06_Audio/SFX/Objects/object_container_break_prof_03.wav,Misc Transportation/Crash_Plastic_RC_Car05.wav,0.38,0.68,0.94,1.06,0.28
object_container_break,06_Audio/SFX/Objects/object_container_break_prof_04.wav,Doors/Door_LargeMetal_Stop11.wav,0.43,0.68,0.94,1.06,0.28
object_debris_hit,06_Audio/SFX/Objects/object_debris_hit_prof.wav,Machinery - Misc/Machine_PileDriver_Hit04.wav,0.6,0.58,0.94,1.04,0.28
object_debris_hit,06_Audio/SFX/Objects/object_debris_hit_prof_02.wav,Doors/Door_LargeMetal_Stop13.wav,0.55,0.58,0.94,1.04,0.28
object_debris_hit,06_Audio/SFX/Objects/object_debris_hit_prof_03.wav,Airplanes/Plane_P40_Hit_BangCanopy12.wav,,0.58,0.94,1.04,0.28
object_debris_break,06_Audio/SFX/Objects/object_debris_break_prof.wav,Doors/Door_LargeMetal_Stop01.wav,0.8,0.78,0.92,1.04,0.32
object_debris_break,06_Audio/SFX/Objects/object_debris_break_prof_02.wav,Doors/Door_LargeMetal_Stop04.wav,0.85,0.78,0.92,1.04,0.32
object_debris_break,06_Audio/SFX/Objects/object_debris_break_prof_03.wav,Misc Transportation/Smash_Plastic_RC_Car_Crash2.wav,0.95,0.78,0.92,1.04,0.32
