SoundEventId,Category,OutputFile,SourceFile,Volume,PitchMin,PitchMax,SpatialBlend
ui_click,UI,ui_click.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_click_in_01.wav,0.72,0.98,1.04,0.0
ui_click,UI,ui_click_02.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_click_in_02.wav,0.72,0.98,1.04,0.0
ui_click,UI,ui_click_03.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_click_in_03.wav,0.72,0.98,1.04,0.0
ui_hover,UI,ui_hover.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_01.wav,0.38,0.98,1.05,0.0
ui_hover,UI,ui_hover_02.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_02.wav,0.38,0.98,1.05,0.0
ui_hover,UI,ui_hover_03.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_03.wav,0.38,0.98,1.05,0.0
ui_back,UI,ui_back.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_click_out_01.wav,0.62,0.97,1.03,0.0
ui_back,UI,ui_back_02.wav,CompleteUISFX/basic_interactions_and_navigation/buttons/sci_fi_button/sci_fi_button_click_out_02.wav,0.62,0.97,1.03,0.0
ui_panel_open,UI,ui_panel_open.wav,CompleteUISFX/basic_interactions_and_navigation/menu_open_fast_01.wav,0.72,0.98,1.02,0.0
ui_panel_open,UI,ui_panel_open_02.wav,CompleteUISFX/basic_interactions_and_navigation/menu_open_fast_02.wav,0.72,0.98,1.02,0.0
ui_panel_open,UI,ui_panel_open_03.wav,CompleteUISFX/basic_interactions_and_navigation/menu_open_fast_03.wav,0.72,0.98,1.02,0.0
ui_panel_close,UI,ui_panel_close.wav,CompleteUISFX/basic_interactions_and_navigation/menu_close_01.wav,0.68,0.98,1.02,0.0
ui_panel_close,UI,ui_panel_close_02.wav,CompleteUISFX/basic_interactions_and_navigation/menu_close_02.wav,0.68,0.98,1.02,0.0
ui_panel_close,UI,ui_panel_close_03.wav,CompleteUISFX/basic_interactions_and_navigation/menu_close_03.wav,0.68,0.98,1.02,0.0
ui_insufficient,UI,ui_insufficient.wav,CompleteUISFX/shop_and_economy/insufficient_currency_01.wav,0.78,0.98,1.02,0.0
ui_insufficient,UI,ui_insufficient_02.wav,CompleteUISFX/shop_and_economy/insufficient_currency_02.wav,0.78,0.98,1.02,0.0
ui_insufficient,UI,ui_insufficient_03.wav,CompleteUISFX/negative_feedback_and_warnings/insufficient_funds_01.wav,0.78,0.98,1.02,0.0
ui_upgrade_success,UI,ui_upgrade_success.wav,CompleteUISFX/crafting_and_upgrading/crafting_success_01.wav,0.8,0.98,1.03,0.0
ui_upgrade_success,UI,ui_upgrade_success_02.wav,CompleteUISFX/crafting_and_upgrading/crafting_success_02.wav,0.8,0.98,1.03,0.0
ui_upgrade_success,UI,ui_upgrade_success_03.wav,CompleteUISFX/crafting_and_upgrading/crafting_success_03.wav,0.8,0.98,1.03,0.0
ui_upgrade_fail,UI,ui_upgrade_fail.wav,CompleteUISFX/crafting_and_upgrading/crafting_fail_01.wav,0.75,0.97,1.02,0.0
ui_upgrade_fail,UI,ui_upgrade_fail_02.wav,CompleteUISFX/crafting_and_upgrading/crafting_fail_02.wav,0.75,0.97,1.02,0.0
ui_launch,UI,ui_launch.wav,CompleteUISFX/basic_interactions_and_navigation/game_state_change_01.wav,0.82,0.98,1.02,0.0
ui_launch,UI,ui_launch_02.wav,CompleteUISFX/basic_interactions_and_navigation/game_state_change_02.wav,0.82,0.98,1.02,0.0
trait_select,UI,trait_select.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_01.wav,0.78,0.98,1.03,0.0
trait_select,UI,trait_select_02.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_02.wav,0.78,0.98,1.03,0.0
trait_select,UI,trait_select_03.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_03.wav,0.78,0.98,1.03,0.0
level_up,UI,level_up.wav,CompleteUISFX/positive_feedback_and_success/level_up_01.wav,0.9,0.98,1.02,0.0
level_up,UI,level_up_02.wav,CompleteUISFX/positive_feedback_and_success/level_up_02.wav,0.9,0.98,1.02,0.0
level_up,UI,level_up_03.wav,CompleteUISFX/positive_feedback_and_success/level_up_03.wav,0.9,0.98,1.02,0.0
tab_status_open,UI,tab_status_open.wav,CompleteUISFX/inventory_and_item_management/inventory_open_01.wav,0.72,0.98,1.02,0.0
tab_status_open,UI,tab_status_open_02.wav,CompleteUISFX/inventory_and_item_management/inventory_open_02.wav,0.72,0.98,1.02,0.0
tab_status_close,UI,tab_status_close.wav,CompleteUISFX/inventory_and_item_management/inventory_close_01.wav,0.7,0.98,1.02,0.0
tab_status_close,UI,tab_status_close_02.wav,CompleteUISFX/inventory_and_item_management/inventory_close_02.wav,0.7,0.98,1.02,0.0
warning_message,UI,warning_message.wav,CompleteUISFX/negative_feedback_and_warnings/warning_pop_up_01.wav,0.82,0.98,1.02,0.0
warning_message,UI,warning_message_02.wav,CompleteUISFX/negative_feedback_and_warnings/warning_pop_up_02.wav,0.82,0.98,1.02,0.0
action_denied,UI,action_denied.wav,CompleteUISFX/negative_feedback_and_warnings/access_denied_01.wav,0.76,0.98,1.02,0.0
action_denied,UI,action_denied_02.wav,CompleteUISFX/negative_feedback_and_warnings/access_denied_02.wav,0.76,0.98,1.02,0.0
action_denied,UI,action_denied_03.wav,CompleteUISFX/negative_feedback_and_warnings/action_failed_01.wav,0.76,0.98,1.02,0.0
shop_open,Shop,shop_open.wav,CompleteUISFX/shop_and_economy/shop_category_select_01.wav,0.78,0.98,1.02,0.0
shop_open,Shop,shop_open_02.wav,CompleteUISFX/shop_and_economy/shop_category_select_02.wav,0.78,0.98,1.02,0.0
shop_buy_success,Shop,shop_buy_success.wav,CompleteUISFX/shop_and_economy/purchase_success_01.wav,0.82,0.98,1.03,0.0
shop_buy_success,Shop,shop_buy_success_02.wav,CompleteUISFX/shop_and_economy/purchase_success_02.wav,0.82,0.98,1.03,0.0
shop_buy_success,Shop,shop_buy_success_03.wav,CompleteUISFX/shop_and_economy/purchase_success_03.wav,0.82,0.98,1.03,0.0
shop_buy_fail,Shop,shop_buy_fail.wav,CompleteUISFX/shop_and_economy/insufficient_currency_03.wav,0.78,0.98,1.02,0.0
shop_buy_fail,Shop,shop_buy_fail_02.wav,CompleteUISFX/shop_and_economy/insufficient_currency_04.wav,0.78,0.98,1.02,0.0
shop_buy_fail,Shop,shop_buy_fail_03.wav,CompleteUISFX/negative_feedback_and_warnings/insufficient_funds_02.wav,0.78,0.98,1.02,0.0
shop_item_sold,Shop,shop_item_sold.wav,CompleteUISFX/shop_and_economy/item_sold_01.wav,0.76,0.98,1.02,0.0
shop_item_sold,Shop,shop_item_sold_02.wav,CompleteUISFX/shop_and_economy/item_sold_02.wav,0.76,0.98,1.02,0.0
shop_item_sold,Shop,shop_item_sold_03.wav,CompleteUISFX/shop_and_economy/item_sold_03.wav,0.76,0.98,1.02,0.0
shop_transaction_complete,Shop,shop_transaction_complete.wav,CompleteUISFX/shop_and_economy/transaction_complete.wav,0.78,0.98,1.02,0.0
shop_warning,Shop,shop_warning.wav,CompleteUISFX/negative_feedback_and_warnings/warning_pop_up_03.wav,0.86,0.96,1.02,0.18
shop_warning,Shop,shop_warning_02.wav,CompleteUISFX/social_and_communication/notification_06.wav,0.86,0.96,1.02,0.18
shop_warning,Shop,shop_warning_03.ogg,kenney_interface-sounds/Audio/error_005.ogg,0.86,0.96,1.02,0.18
shop_hostile,Shop,shop_hostile.ogg,kenney_sci-fi-sounds/Audio/forceField_004.ogg,0.92,0.96,1.02,0.25
shop_hostile,Shop,shop_hostile_02.ogg,kenney_sci-fi-sounds/Audio/explosionCrunch_000.ogg,0.92,0.96,1.02,0.25
shop_hostile,Shop,shop_hostile_03.ogg,kenney_digital-audio/Audio/lowThreeTone.ogg,0.92,0.96,1.02,0.25
reinforcement_equip,UI,reinforcement_equip.wav,CompleteUISFX/inventory_and_item_management/item_equip_01.wav,0.76,0.98,1.03,0.0
reinforcement_equip,UI,reinforcement_equip_02.wav,CompleteUISFX/inventory_and_item_management/item_equip_02.wav,0.76,0.98,1.03,0.0
reinforcement_equip,UI,reinforcement_equip_03.wav,CompleteUISFX/inventory_and_item_management/item_equip_03.wav,0.76,0.98,1.03,0.0
reinforcement_drop,UI,reinforcement_drop.wav,CompleteUISFX/inventory_and_item_management/item_drop_01.wav,0.66,0.96,1.04,0.15
reinforcement_drop,UI,reinforcement_drop_02.wav,CompleteUISFX/inventory_and_item_management/item_drop_02.wav,0.66,0.96,1.04,0.15
reinforcement_drop,UI,reinforcement_drop_03.wav,CompleteUISFX/inventory_and_item_management/item_drop_03.wav,0.66,0.96,1.04,0.15
reinforcement_pickup,UI,reinforcement_pickup.wav,CompleteUISFX/inventory_and_item_management/item_pick_up_02.wav,0.78,0.98,1.03,0.0
reinforcement_pickup,UI,reinforcement_pickup_02.wav,CompleteUISFX/inventory_and_item_management/item_pick_up_03.wav,0.78,0.98,1.03,0.0
reinforcement_pickup,UI,reinforcement_pickup_03.wav,CompleteUISFX/positive_feedback_and_success/item_acquired_01.wav,0.78,0.98,1.03,0.0
reinforcement_use,UI,reinforcement_use.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_04.wav,0.82,0.96,1.04,0.1
reinforcement_use,UI,reinforcement_use_02.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_05.wav,0.82,0.96,1.04,0.1
reinforcement_use,UI,reinforcement_use_03.ogg,kenney_digital-audio/Audio/powerUp7.ogg,0.82,0.96,1.04,0.1
radar_open,Radar,radar_open.wav,CompleteUISFX/basic_interactions_and_navigation/game_state_change_03.wav,0.7,0.98,1.02,0.0
radar_open,Radar,radar_open_02.wav,CompleteUISFX/basic_interactions_and_navigation/menu_open_fast_04.wav,0.7,0.98,1.02,0.0
radar_close,Radar,radar_close.wav,CompleteUISFX/basic_interactions_and_navigation/game_state_change_04.wav,0.62,0.98,1.02,0.0
radar_close,Radar,radar_close_02.wav,CompleteUISFX/basic_interactions_and_navigation/menu_close_03.wav,0.62,0.98,1.02,0.0
radar_scan_pulse,Radar,radar_scan_pulse.ogg,kenney_sci-fi-sounds/Audio/forceField_000.ogg,0.76,0.96,1.04,0.12
radar_scan_pulse,Radar,radar_scan_pulse_02.ogg,kenney_sci-fi-sounds/Audio/forceField_001.ogg,0.76,0.96,1.04,0.12
radar_scan_pulse,Radar,radar_scan_pulse_03.ogg,kenney_digital-audio/Audio/zapTwoTone.ogg,0.76,0.96,1.04,0.12
radar_fail,Radar,radar_fail.wav,CompleteUISFX/negative_feedback_and_warnings/action_failed_02.wav,0.72,0.98,1.02,0.0
radar_fail,Radar,radar_fail_02.ogg,kenney_interface-sounds/Audio/error_003.ogg,0.72,0.98,1.02,0.0
pickup_credit,Pickups,pickup_credit.wav,CompleteUISFX/positive_feedback_and_success/currency_gained.wav,0.58,0.98,1.06,0.0
pickup_credit,Pickups,pickup_credit_02.ogg,kenney_rpg-audio/Audio/handleCoins.ogg,0.58,0.98,1.06,0.0
pickup_credit,Pickups,pickup_credit_03.ogg,kenney_rpg-audio/Audio/handleCoins2.ogg,0.58,0.98,1.06,0.0
pickup_scrap,Pickups,pickup_scrap.wav,CompleteUISFX/positive_feedback_and_success/item_acquired_01.wav,0.62,0.96,1.05,0.12
pickup_scrap,Pickups,pickup_scrap_02.wav,CompleteUISFX/positive_feedback_and_success/item_acquired_02.wav,0.62,0.96,1.05,0.12
pickup_scrap,Pickups,pickup_scrap_03.ogg,kenney_impact-sounds/Audio/impactTin_medium_003.ogg,0.62,0.96,1.05,0.12
pickup_core,Pickups,pickup_core.wav,CompleteUISFX/positive_feedback_and_success/achievement_unlocked_01.wav,0.88,0.98,1.02,0.0
pickup_core,Pickups,pickup_core_02.wav,CompleteUISFX/positive_feedback_and_success/achievement_unlocked_02.wav,0.88,0.98,1.02,0.0
pickup_core,Pickups,pickup_core_03.wav,CompleteUISFX/positive_feedback_and_success/item_acquired_long_01.wav,0.88,0.98,1.02,0.0
pickup_heal,Pickups,pickup_heal.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_06.wav,0.74,0.98,1.04,0.0
pickup_heal,Pickups,pickup_heal_02.wav,CompleteUISFX/miscellaneous_and_unique_ui/buff_applied_07.wav,0.74,0.98,1.04,0.0
pickup_experience,Pickups,pickup_experience.wav,CompleteUISFX/positive_feedback_and_success/item_acquired_03.wav,0.48,0.98,1.05,0.0
pickup_experience,Pickups,pickup_experience_02.wav,CompleteUISFX/positive_feedback_and_success/item_acquired_04.wav,0.48,0.98,1.05,0.0
return_choice_open,Return,return_choice_open.wav,CompleteUISFX/basic_interactions_and_navigation/menu_open_slow_01.wav,0.78,0.98,1.02,0.0
return_choice_open,Return,return_choice_open_02.wav,CompleteUISFX/social_and_communication/notification_02.wav,0.78,0.98,1.02,0.0
safe_return,Return,safe_return.wav,CompleteUISFX/positive_feedback_and_success/quest_completed_01.wav,0.9,0.98,1.02,0.0
safe_return,Return,safe_return_02.wav,CompleteUISFX/positive_feedback_and_success/mission_success_01.wav,0.9,0.98,1.02,0.0
result_count_tick,Return,result_count_tick.wav,CompleteUISFX/basic_interactions_and_navigation/checkbox_tick_01.wav,0.36,0.98,1.08,0.0
result_count_tick,Return,result_count_tick_02.wav,CompleteUISFX/basic_interactions_and_navigation/checkbox_tick_02.wav,0.36,0.98,1.08,0.0
result_reward_total,Return,result_reward_total.wav,CompleteUISFX/positive_feedback_and_success/quest_completed_02.wav,0.86,0.98,1.02,0.0
result_reward_total,Return,result_reward_total_02.wav,CompleteUISFX/positive_feedback_and_success/mission_success_02.wav,0.86,0.98,1.02,0.0
event_start,Events,event_start.wav,CompleteUISFX/positive_feedback_and_success/objective_reached_01.wav,0.76,0.98,1.02,0.0
event_start,Events,event_start_02.wav,CompleteUISFX/social_and_communication/notification_03.wav,0.76,0.98,1.02,0.0
event_complete,Events,event_complete.wav,CompleteUISFX/positive_feedback_and_success/mission_success_03.wav,0.86,0.98,1.02,0.0
event_complete,Events,event_complete_02.wav,CompleteUISFX/positive_feedback_and_success/quest_completed_03.wav,0.86,0.98,1.02,0.0
ship_dash_start,Player,ship_dash_start.ogg,kenney_sci-fi-sounds/Audio/thrusterFire_000.ogg,0.72,0.94,1.06,0.28
ship_dash_start,Player,ship_dash_start_02.ogg,kenney_sci-fi-sounds/Audio/thrusterFire_001.ogg,0.72,0.94,1.06,0.28
ship_dash_start,Player,ship_dash_start_03.ogg,kenney_sci-fi-sounds/Audio/thrusterFire_002.ogg,0.72,0.94,1.06,0.28
ship_dash_end,Player,ship_dash_end.ogg,kenney_digital-audio/Audio/phaserDown1.ogg,0.54,0.94,1.05,0.22
ship_dash_end,Player,ship_dash_end_02.ogg,kenney_digital-audio/Audio/phaserDown2.ogg,0.54,0.94,1.05,0.22
ship_dash_end,Player,ship_dash_end_03.ogg,kenney_digital-audio/Audio/phaseJump3.ogg,0.54,0.94,1.05,0.22
ship_hit,Player,ship_hit.ogg,kenney_sci-fi-sounds/Audio/impactMetal_000.ogg,0.68,0.92,1.08,0.32
ship_hit,Player,ship_hit_02.ogg,kenney_sci-fi-sounds/Audio/impactMetal_001.ogg,0.68,0.92,1.08,0.32
ship_hit,Player,ship_hit_03.ogg,kenney_sci-fi-sounds/Audio/impactMetal_002.ogg,0.68,0.92,1.08,0.32
ship_hit,Player,ship_hit_04.ogg,kenney_impact-sounds/Audio/impactMetal_medium_001.ogg,0.68,0.92,1.08,0.32
ship_death_breakup,Player,ship_death_breakup.ogg,kenney_sci-fi-sounds/Audio/explosionCrunch_003.ogg,0.94,0.92,1.02,0.35
ship_death_breakup,Player,ship_death_breakup_02.ogg,kenney_sci-fi-sounds/Audio/explosionCrunch_004.ogg,0.94,0.92,1.02,0.35
ship_death_breakup,Player,ship_death_breakup_03.ogg,kenney_sci-fi-sounds/Audio/lowFrequency_explosion_000.ogg,0.94,0.92,1.02,0.35
