trait_id,display_name,asset_path,family,rarity,max_level,lv1,lv2,lv3_max,effect_kind,primary_role,purpose,overlapping_equipment,acquisition_eligibility,description,composition_notes,development_branch,development_roster,research_row,blueprint_position,manufacturing_scrap,manufacturing_core,recipe_basis,deployment
shared_cargo_bay,확장 적재실,Assets/02_Scripts/Config/TraitDefinition/Common/01_shared_cargo_bay.asset,Shared,Common,3,CargoCapacityBonus 8,CargoCapacityBonus 10,CargoCapacityBonus 14,Numeric,Salvage,Maximum cargo specialization,shared_bulkhead_cargo_frame;shared_lightweight_cargo,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,전투 보조 대신 적재량에 집중해 한 번에 더 많은 자원을 운반한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,0,1,1,1,retained original first-unlock cost,"Lv1 when researched, manufactured, fitted and compatible"
shared_salvage_protocol,수확 프로토콜,Assets/02_Scripts/Config/TraitDefinition/Common/02_shared_salvage_protocol.asset,Shared,Common,3,HarvestYieldPercent 8,HarvestYieldPercent 8,HarvestYieldPercent 8,Numeric,Salvage,Yield per harvested deposit,shared_scrap_sorter,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,같은 잔해에서 더 많은 자원을 회수한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,1,1,1,3,retained original first-unlock cost,"Lv1 when researched, manufactured, fitted and compatible"
shared_salvage_magnet,회수 자석,Assets/02_Scripts/Config/TraitDefinition/Common/03_shared_salvage_magnet.asset,Shared,Common,3,PickupRangeBonus 1.2,PickupRangeBonus 1.2,PickupRangeBonus 1.2,Numeric,Salvage,Largest pickup reach,shared_scrap_sorter;shared_collection_route,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,흩어진 자원을 멀리서 끌어당겨 회수 동선을 줄인다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,0,2,10,0,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
shared_reinforced_plating,강화 장갑,Assets/02_Scripts/Config/TraitDefinition/Common/04_shared_reinforced_plating.asset,Shared,Common,3,MaxHpBonus 2,MaxHpBonus 2,MaxHpBonus 4,Numeric,Survival,Largest flat health reserve,shared_survival_protocol;shared_bulkhead_cargo_frame,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,최대 체력에 집중해 회복 없이 버틸 수 있는 여유를 늘린다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,1,2,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
shared_engine_tuning,엔진 튜닝,Assets/02_Scripts/Config/TraitDefinition/Common/05_shared_engine_tuning.asset,Shared,Common,3,MoveSpeedPercent 5,MoveSpeedPercent 5,MoveSpeedPercent 5,Numeric,Mobility,Sustained repositioning speed,shared_collection_route;shared_lightweight_cargo,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,지속 이동 속도를 높여 탐색과 사선 이탈을 돕는다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,0,3,20,1,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
shared_dash_capacitor,대쉬 캐패시터,Assets/02_Scripts/Config/TraitDefinition/Common/06_shared_dash_capacitor.asset,Shared,Common,3,DashCooldownReduction 0.08,DashCooldownReduction 0.08,DashCooldownReduction 0.08,Numeric,Mobility,Frequent dash availability,shared_return_protocol,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,대쉬를 더 자주 사용해 위험 구간을 빠져나온다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,2,2,30,2,promoted legacy; provisional tier formula for new manufacture,"Lv1 when researched, manufactured, fitted and compatible"
shared_vector_thruster,벡터 추진기,Assets/02_Scripts/Config/TraitDefinition/Common/07_shared_vector_thruster.asset,Shared,Common,3,DashDistanceBonus 0.5,DashDistanceBonus 0.5,DashDistanceBonus 0.5,Numeric,Mobility,Longer dash displacement,sg_breaching_drive,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,한 번의 대쉬로 더 먼 거리를 가로지른다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_repair_foam,정비 폼,Assets/02_Scripts/Config/TraitDefinition/Common/08_shared_repair_foam.asset,Shared,Common,3,HealEfficiencyPercent 15,HealEfficiencyPercent 15,HealEfficiencyPercent 15,Numeric,Survival,Recovery efficiency specialist,shared_survival_protocol,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,같은 회복 자원으로 더 많은 체력을 복구한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,1,3,20,1,promoted legacy; provisional tier formula for new manufacture,"Lv1 when researched, manufactured, fitted and compatible"
shared_targeting_bus,조준 버스,Assets/02_Scripts/Config/TraitDefinition/Common/09_shared_targeting_bus.asset,Shared,Common,3,DamagePercent 5,DamagePercent 6,DamagePercent 8,Numeric,Offense,Pure damage specialist,shared_standard_upgrade;shared_cutting_ammo,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,범용 화력을 집중 보강한다. 최대 단계에서 화력 증가 폭이 커진다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,30,2,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_accelerator_coil,가속 코일,Assets/02_Scripts/Config/TraitDefinition/Common/10_shared_accelerator_coil.asset,Shared,Common,3,ProjectileSpeedPercent 8,ProjectileSpeedPercent 8,ProjectileSpeedPercent 8,Numeric,Control,Fast projectile delivery,shared_longshot_stabilizer;mg_salvage_sweep,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,탄속을 높여 움직이는 목표를 맞히기 쉽게 한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_range_focusing,사거리 초점화,Assets/02_Scripts/Config/TraitDefinition/Common/11_shared_range_focusing.asset,Shared,Common,3,RangePercent 8,RangePercent 8,RangePercent 8,Numeric,Control,Maximum firing reach,shared_longshot_stabilizer;mg_midrange_pressure,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,사거리에 집중해 더 먼 거리에서 교전을 시작한다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_rapid_feed,급속 급탄,Assets/02_Scripts/Config/TraitDefinition/Common/12_shared_rapid_feed.asset,Shared,Common,3,FireRatePercent 5,FireRatePercent 6,FireRatePercent 8,Numeric,Offense,Pure firing cadence specialist,mg_stable_feed;mg_sustained_harvest_fire,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,연사력에 집중한다. 최대 단계에서 지속 사격이 한층 빨라진다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,20,1,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_combat_gyro,전투 자이로,Assets/02_Scripts/Config/TraitDefinition/Common/13_shared_combat_gyro.asset,Shared,Common,3,SpreadReductionPercent 8,SpreadReductionPercent 10,SpreadReductionPercent 14,Numeric,Control,Pure spread specialist,mg_stable_feed;sg_choke_barrel,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,탄 퍼짐에 집중해 사격을 한곳에 모은다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,30,2,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_scrap_sorter,스크랩 분류기,Assets/02_Scripts/Config/TraitDefinition/Common/14_shared_scrap_sorter.asset,Shared,Rare,3,HarvestYieldPercent 5; PickupRangeBonus 0.6,HarvestYieldPercent 5; PickupRangeBonus 0.6,HarvestYieldPercent 5; PickupRangeBonus 0.6,Numeric,Salvage,Yield plus convenient collection,shared_salvage_protocol;shared_salvage_magnet,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,수확량과 흡수 범위를 함께 늘려 회수 효율을 높인다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,no,0,,0,0,legacy ownership only; not sold,Previously manufactured compatible ownership; Lv1 deployment when fitted
shared_return_container,복귀 보관함,Assets/02_Scripts/Config/TraitDefinition/Common/15_shared_return_container.asset,Shared,Rare,3,EmergencyReturnCapacityRatioBonus 4,EmergencyReturnCapacityRatioBonus 5,EmergencyReturnCapacityRatioBonus 7,Numeric,Salvage,Maximum emergency preservation,shared_return_protocol,Immutable effective run fitting + compatibility + runtime prerequisites + below Max; normal deployment seeds Lv1; source rarity/exposure rules retained,긴급복귀 때 보존할 수 있는 화물 비율을 늘린다.,"Per-level entries; numeric composition follows the effect consumer, not a sum of all percentages.",Shared,yes,3,1,50,4,provisional integration recipe,"Lv1 when researched, manufactured, fitted and compatible"
